Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Blok proti islam.-Obran.domova,Strana zelených,STAROSTOVÉ A NEZÁVISLÍ,Občanská demokratická aliance,Komunistická str.Čech a Moravy,Strana svobodných občanů,Řád národa - Vlastenecká unie,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Česká pirátská strana,Občanská demokratická strana,Česká str.sociálně demokrat.
569119,Čavisov,419,318,316,0,0,4,16,0,34,2,0,2,0,36,29,22
506711,Dolní Lhota,1 202,904,899,0,1,9,31,1,41,2,2,3,0,90,95,69
569500,Horní Lhota,691,481,474,0,0,5,17,0,52,1,0,4,1,38,49,39
599549,Klimkovice,3 652,2 453,2 434,0,3,32,56,6,200,34,0,16,1,292,230,166
554049,Olbramice,545,368,356,0,0,5,13,0,16,4,0,4,2,25,27,33
554821,Ostrava,237 254,125 244,124 258,82,141,1 540,3 045,129,10 640,1 537,114,804,124,11 446,10 288,10 566
598739,Stará Ves nad Ondřejnicí,2 235,1 499,1 486,0,0,23,42,3,140,5,3,10,3,105,161,133
598798,Šenov,5 137,3 357,3 338,0,1,41,83,17,300,27,4,11,6,324,297,297
598836,Václavovice,1 578,1 149,1 145,0,2,20,32,1,92,14,3,13,0,123,90,71
510882,Velká Polom,1 565,1 107,1 098,2,0,8,159,1,109,8,1,3,5,112,99,70
598879,Vratimov,5 847,3 559,3 532,0,9,44,79,4,314,42,3,41,3,299,261,325
500291,Vřesina,2 362,1 617,1 606,0,6,24,48,1,112,20,0,8,0,172,168,111
568449,Zbyslavice,503,342,341,1,0,3,20,0,17,5,0,0,0,24,23,30
